cycle,model,perturbation,value,metric,sensitivity_index
quasi_steady,dynamic,N_scale,0.7,DM_end,1.403845013505776
quasi_steady,dynamic,N_scale,0.85,DM_end,1.3788346685663255
quasi_steady,dynamic,N_scale,1.0,DM_end,0.0
quasi_steady,dynamic,N_scale,1.15,DM_end,1.2956225973581657
quasi_steady,dynamic,N_scale,1.3,DM_end,1.248164935784453
quasi_steady,rmnd,N_scale,0.7,DM_end,1.4850456817448336
quasi_steady,rmnd,N_scale,0.85,DM_end,1.4785800331675907
quasi_steady,rmnd,N_scale,1.0,DM_end,0.0
quasi_steady,rmnd,N_scale,1.15,DM_end,1.4193503608666882
quasi_steady,rmnd,N_scale,1.3,DM_end,1.3788440165740614
quasi_steady,smnd,N_scale,0.7,DM_end,1.7293770196011906
quasi_steady,smnd,N_scale,0.85,DM_end,1.792569079355029
quasi_steady,smnd,N_scale,1.0,DM_end,0.0
quasi_steady,smnd,N_scale,1.15,DM_end,1.836023794750931
quasi_steady,smnd,N_scale,1.3,DM_end,1.8303015617073901
quasi_steady,liebig,N_scale,0.7,DM_end,1.4579057397214314
quasi_steady,liebig,N_scale,0.85,DM_end,1.4687690291149642
quasi_steady,liebig,N_scale,1.0,DM_end,0.0
quasi_steady,liebig,N_scale,1.15,DM_end,1.4442058110284226
quasi_steady,liebig,N_scale,1.3,DM_end,1.4185658043046698
quasi_steady,multiplicative,N_scale,0.7,DM_end,1.5243495363234534
quasi_steady,multiplicative,N_scale,0.85,DM_end,1.5546752938244282
quasi_steady,multiplicative,N_scale,1.0,DM_end,0.0
quasi_steady,multiplicative,N_scale,1.15,DM_end,1.5608367385889927
quasi_steady,multiplicative,N_scale,1.3,DM_end,1.5464699372768411
usable,dynamic,N_scale,0.7,DM_end,1.369143740631934
usable,dynamic,N_scale,0.85,DM_end,1.337446517221442
usable,dynamic,N_scale,1.0,DM_end,0.0
usable,dynamic,N_scale,1.15,DM_end,1.246284103684595
usable,dynamic,N_scale,1.3,DM_end,1.1967813314717206
usable,rmnd,N_scale,0.7,DM_end,1.4506814031328643
usable,rmnd,N_scale,0.85,DM_end,1.4362813956779559
usable,rmnd,N_scale,1.0,DM_end,0.0
usable,rmnd,N_scale,1.15,DM_end,1.3666560694668815
usable,rmnd,N_scale,1.3,DM_end,1.3230845310717496
usable,smnd,N_scale,0.7,DM_end,1.6957522835082488
usable,smnd,N_scale,0.85,DM_end,1.7470206484317743
usable,smnd,N_scale,1.0,DM_end,0.0
usable,smnd,N_scale,1.15,DM_end,1.7711783892723512
usable,smnd,N_scale,1.3,DM_end,1.7582926771292133
usable,liebig,N_scale,0.7,DM_end,1.4320026087858728
usable,liebig,N_scale,0.85,DM_end,1.4357391404028754
usable,liebig,N_scale,1.0,DM_end,0.0
usable,liebig,N_scale,1.15,DM_end,1.4003889650675843
usable,liebig,N_scale,1.3,DM_end,1.3709631211368645
usable,multiplicative,N_scale,0.7,DM_end,1.4997096554741745
usable,multiplicative,N_scale,0.85,DM_end,1.522233026872574
usable,multiplicative,N_scale,1.0,DM_end,0.0
usable,multiplicative,N_scale,1.15,DM_end,1.5157238245467188
usable,multiplicative,N_scale,1.3,DM_end,1.4965801489234982
