cycle,model,perturbation,value,mu_start,mu_end,DM_start,DM_end,dDMdt_start,dDMdt_end
usable,dynamic,N_scale,0.7,0.3413082757774971,0.05852678630852126,0.001878316,1.12587609671606,0.0006410847953252853,0.06589390972237286
usable,rmnd,N_scale,0.7,0.32981103869575956,0.06454785484984193,0.001878316,1.0274848852471854,0.0006194893509588644,0.06632194523334183
usable,smnd,N_scale,0.7,0.3355012209136803,0.04180179696989289,0.001878316,0.7810764004292161,0.0006301773112617003,0.03265039710871685
usable,liebig,N_scale,0.7,0.20575076047472085,0.20049623312583437,0.001878316,1.2423725965426407,0.0003864649454118358,0.24909102574556144
usable,multiplicative,N_scale,0.7,0.20177911669770904,0.19622272324294537,0.001878316,1.088451173889009,0.0003790049433591741,0.21357885345748204
quasi_steady,dynamic,N_scale,0.7,0.3363111309821046,0.058509068250506335,0.001878316,1.04166624342619,0.0006316985783017827,0.0609469213308715
quasi_steady,rmnd,N_scale,0.7,0.3244420853090342,0.06452885184476198,0.001878316,0.9451928241952162,0.0006094047599093239,0.060992207717225265
quasi_steady,smnd,N_scale,0.7,0.32889635232192516,0.041778504882139134,0.001878316,0.7049226812236947,0.0006177712809079092,0.029450615679034738
quasi_steady,liebig,N_scale,0.7,0.2006246300060443,0.20047825737971345,0.001878316,1.147447166414844,0.0003768364525344331,0.23003820835813799
quasi_steady,multiplicative,N_scale,0.7,0.19635822467534633,0.19620375393327874,0.001878316,1.0007554129129306,0.0003688227951392978,0.1963519687825654
usable,dynamic,N_scale,0.85,0.35048607191337333,0.06836845076357417,0.001878316,1.5273580520671528,0.0006583235966520398,0.1044231037811017
usable,rmnd,N_scale,0.85,0.33971841100926664,0.07513798150942141,0.001878316,1.4272797121314278,0.0006380985268932817,0.10724291661890355
usable,smnd,N_scale,0.85,0.34781056303421026,0.054871628559646224,0.001878316,1.1732608299660279,0.0006532981455161657,0.06437873246547812
usable,liebig,N_scale,0.85,0.2154523663024544,0.21069067017227913,0.001878316,1.7090033125819029,0.00040468762686376097,0.36007105325452615
usable,multiplicative,N_scale,0.85,0.21209831176151162,0.20702368806712995,0.001878316,1.5268849605949746,0.0003983876525546355,0.31610135579660603
quasi_steady,dynamic,N_scale,0.85,0.34613665198285953,0.06835299248184384,0.001878316,1.4273618649897462,0.0006501540116058369,0.09756445482651473
quasi_steady,rmnd,N_scale,0.85,0.3350156751282593,0.07512129308045534,0.001878316,1.3265636041749107,0.0006292653028442116,0.09965317329908861
quasi_steady,smnd,N_scale,0.85,0.34194792774904553,0.05485089103270052,0.001878316,1.0710584541417387,0.0006422862638578762,0.05874851055778118
quasi_steady,liebig,N_scale,0.85,0.21080742486008644,0.2106743227434681,0.001878316,1.5901208172042496,0.00039596295903349815,0.3349976262447953
quasi_steady,multiplicative,N_scale,0.85,0.2071478890858775,0.20700629894605574,0.001878316,1.4140129517998477,0.0003890891944362291,0.29270958781387396
usable,dynamic,N_scale,1.0,0.3572098449871027,0.07560764030036327,0.001878316,1.9106711166437762,0.0006709529671967948,0.14446133451949605
usable,rmnd,N_scale,1.0,0.3470153381125619,0.08297221960156176,0.001878316,1.8192155238838663,0.0006518044618222348,0.15094434995026237
usable,smnd,N_scale,1.0,0.35697869974946245,0.06465658200541857,0.001878316,1.5898987117057923,0.0006705188033986114,0.1027974164337149
usable,liebig,N_scale,1.0,0.22280643961738594,0.21846637327697335,0.001878316,2.178075563082869,0.0004185009004363699,0.475836268989916
usable,multiplicative,N_scale,1.0,0.21997306872072225,0.2153202104388251,0.001878316,1.978688769914931,0.0004131789345472322,0.4260516823310229
quasi_steady,dynamic,N_scale,1.0,0.3533632477881452,0.07559394514639983,0.001878316,1.7995552373859172,0.0006637278421324378,0.13603547990286755
quasi_steady,rmnd,N_scale,1.0,0.3428368281536368,0.08295736291057138,0.001878316,1.704627926616069,0.0006439558997102266,0.14141143753578408
quasi_steady,smnd,N_scale,1.0,0.35171797085001205,0.06463793128310319,0.001878316,1.464966502284707,0.0006606374921351113,0.09469240410672691
quasi_steady,liebig,N_scale,1.0,0.21857306808651153,0.21845143326425998,0.001878316,2.0394409792612787,0.000410549290955984,0.44551880497749224
quasi_steady,multiplicative,N_scale,1.0,0.21543440446538417,0.21530422110774788,0.001878316,1.8440471284985294,0.00040465388885780256,0.39703113068735496
usable,dynamic,N_scale,1.15,0.36234778440434,0.08115608452294748,0.001878316,2.267856972650141,0.0006806036410112224,0.18405039215835065
usable,rmnd,N_scale,1.15,0.35261344094330277,0.08900246711785953,0.001878316,2.192151814491505,0.0006623194679388607,0.19510691978663627
usable,smnd,N_scale,1.15,0.364071972265096,0.07225680268947876,0.001878316,2.01229784760158,0.0006838422106570861,0.14540220852661015
usable,liebig,N_scale,1.15,0.22857307977832755,0.22459285854245054,0.001878316,2.635598510626561,0.0004293324729169091,0.5919366034718445
usable,multiplicative,N_scale,1.15,0.22617997494848358,0.22189285974087972,0.001878316,2.428560626403396,0.0004248374658253359,0.5388802624467517
quasi_steady,dynamic,N_scale,1.15,0.3589016269997113,0.08114379861609955,0.001878316,2.149286901998632,0.0006741306684195897,0.17440130354399747
quasi_steady,rmnd,N_scale,1.15,0.34885651048024013,0.08898908958281948,0.001878316,2.0675475660339617,0.0006552627653392028,0.1839891755705366
quasi_steady,smnd,N_scale,1.15,0.359305876266055,0.07223987582023406,0.001878316,1.8684235057908716,0.0006748899762845514,0.13497468203793894
quasi_steady,liebig,N_scale,1.15,0.22469090810193032,0.22457912827605234,0.001878316,2.4812468562860737,0.0004220405277423854,0.5572362560224218
